,OBS,Latitude,Longitude,Temperature
0,WIJ92042001,-34.07166667,18.39166667,17.158483331972278
1,WIJ92050108,-33.88666667,22.41333333,17.662120331738915
2,NAH92062102,-34.382,19.366,17.02985640376632
3,NAH92062107,-34.3865,19.42633333,17.02985640376632
4,PAP92092408,-34.31483333,19.0,16.974604409510388
5,NAH94022006,-34.56133333,19.54916667,17.02985640376632
6,APE94082105,-33.8915,25.26416667,18.221008052238613
7,APE94080709,-34.02166667,18.40166667,17.158483331972278
8,OUT95041402,-33.963,21.26116667,17.58716368942094
9,OUT95041403,-33.96633333,21.279,17.58716368942094
10,MCG96042101,-33.88916667,25.26783333,18.221008052238613
11,JID97071401,-33.96983333,18.4,17.158483331972278
12,OUT97070606,-33.85,23.69166667,17.42327570851327
13,PMR98030101,-34.1205,18.4425,16.82519545733296
14,IVM98030503,-34.30766667,19.45516667,17.02985640376632
15,NAH98052305,-34.39316667,19.44733333,17.02985640376632
16,PMR98053102,-34.1825,19.17966667,16.159485448016184
17,SAS99080702,-33.71533333,19.86766667,14.672653860991113
18,AGRY0010903,-34.44416667,19.66883333,17.02985640376632
19,WMPY0010903,-34.44683333,19.68,17.02985640376632
20,PMRY0070103,-33.795,25.092,18.221008052238613
21,TLEY0050603,-34.19383333,19.50316667,16.159485448016184
22,CBE92040403,-33.44366667,19.38166667,15.484516052002656
23,WIJ93051609,-34.0275,19.61333333,16.159485448016184
24,WIJ93102605,-33.985,20.5,17.354423065977972
25,WIJ93102903,-33.95333333,20.34,17.354423065977972
26,WIJ94061203,-33.81666667,19.15833333,16.159485448016184
27,OUT96092806,-33.93566667,21.72883333,17.61376740336415
28,AGR92040701,-33.97883333,19.28166667,16.159485448016184
29,GYC92070501,-33.8825,19.16183333,16.159485448016184
30,GYC92070502,-33.88566667,19.16016667,16.159485448016184
31,GYC92070503,-33.88783333,19.15866667,16.159485448016184
32,APE92072208,-34.09416667,18.45183333,16.82519545733296
33,AKS93070101,-34.4,19.315,17.02985640376632
34,FBH95090203,-34.113,18.43066667,17.158483331972278
35,HCE96052402,-34.0545,19.00916667,16.82519545733296
36,HCE96052404,-34.04866667,18.99416667,16.82519545733296
37,HCE96052405,-34.04683333,19.007,16.82519545733296
38,HCE96052501,-34.04683333,19.02466667,16.82519545733296
39,HCE96052502,-34.04683333,19.03516667,16.82519545733296
40,HCE96052602,-34.01616667,19.1045,16.159485448016184
41,HCE96052604,-34.04116667,19.09283333,16.159485448016184
42,HCE96052606,-34.0595,19.0755,16.159485448016184
43,HCE96052610,-34.06916667,19.06483333,16.159485448016184
44,HCE96062907,-33.99633333,19.00833333,16.82519545733296
45,HCE96062908,-33.99733333,19.01266667,16.82519545733296
46,HCE96062910,-34.00666667,19.00966667,16.82519545733296
47,HCE96062911,-34.009,19.00583333,16.82519545733296
48,HCE96062912,-34.00966667,19.0005,16.82519545733296
49,HCE96070903,-34.3175,18.864,16.974604409510388
50,HCE96070904,-34.31433333,18.85966667,16.974604409510388
51,HCE96070909,-34.30816667,18.843,16.974604409510388
52,OUT96081002,-33.86533333,21.99566667,17.61376740336415
53,OUT96081007,-33.85983333,22.01183333,17.61376740336415
54,OUT96092801,-33.9405,21.75216667,17.61376740336415
55,OUT96092802,-33.93833333,21.743,17.61376740336415
56,OUT96092803,-33.93716667,21.74083333,17.61376740336415
57,OUT96092804,-33.93766667,21.73866667,17.61376740336415
58,SHS96062105,-33.886,22.44033333,17.662120331738915
59,OUT96110201,-33.99833333,21.464,17.58716368942094
60,OUT96110214,-33.98066667,21.44083333,17.58716368942094
61,OUT96110215,-33.9775,21.44083333,17.58716368942094
62,OUT96110218,-33.98966667,21.4435,17.58716368942094
63,OUT96110902,-33.94816667,21.14033333,17.58716368942094
64,OUT96110903,-33.94833333,21.13383333,17.58716368942094
65,OUT96110904,-33.9495,21.1275,17.58716368942094
66,OUT96110905,-33.95133333,21.1225,17.58716368942094
67,OUT96110906,-33.95283333,21.11666667,17.58716368942094
68,AWA97032403,-33.9625,21.25766667,17.58716368942094
69,WMP99010212,-33.95083333,21.12416667,17.58716368942094
70,OUT98092508,-33.95283333,20.90433333,17.354423065977972
71,KHA99051902,-34.1975,18.41233333,17.158483331972278
72,OUT98101001,-33.8955,22.38766667,17.662120331738915
73,OUT99011601,-33.91666667,22.50933333,17.662210087860718
74,OUT99011602,-33.92466667,22.516,17.662210087860718
75,OUT99021303,-33.86266667,22.30166667,17.662120331738915
76,OUT99070304,-33.82433333,22.9065,17.269697019804234
77,OUT99070306,-33.82166667,22.9,17.269697019804234
78,OUT99070308,-33.81666667,22.91016667,17.269697019804234
79,OUT99070310,-33.81816667,22.90616667,17.269697019804234
80,WIJ99082102,-34.11583333,18.43833333,16.82519545733296
81,OUT99061205,-33.84683333,21.95483333,17.61376740336415
82,OUTY0092203,-33.83016667,22.64816667,17.662210087860718
83,OUTY0092204,-33.8355,22.64616667,17.662210087860718
84,JAT92081302,-34.38166667,19.33666667,17.02985640376632
85,PVR92122602,-33.9685,18.428,17.158483331972278
86,PVR92122603,-33.97516667,18.42183333,17.158483331972278
87,AJT93010901,-34.31216667,18.99616667,16.974604409510388
88,AJT93010904,-34.313,19.01666667,16.974604409510388
89,MHG93010503,-33.92516667,23.721,17.42327570851327
90,AJT93032706,-34.05583333,18.3865,17.158483331972278
91,APE93040303,-33.8725,22.40833333,17.662120331738915
92,JAT93071403,-33.97883333,23.63816667,17.42327570851327
93,AKS93090103,-34.07483333,18.38766667,17.158483331972278
94,AKS93090104,-34.07066667,18.38283333,17.158483331972278
95,AKS93091604,-33.918,23.76016667,17.42327570851327
96,PVR93101604,-33.96366667,20.72366667,17.354423065977972
97,WIJ93102603,-33.99333333,20.50666667,17.354423065977972
98,WIJ93102608,-33.975,20.48,17.354423065977972
99,WIJ93102904,-33.95833333,20.33833333,17.354423065977972
100,WIJ93102907,-33.97166667,20.34833333,17.354423065977972
101,AJT94042012,-34.28916667,18.92066667,16.974604409510388
102,WIJ94041603,-33.98833333,20.59,17.354423065977972
103,ASP94102930,-34.20366667,18.90483333,16.82519545733296
104,AGR94112015,-34.34916667,18.92883333,16.974604409510388
105,JID94121701,-33.99233333,18.41566667,17.158483331972278
106,ASP94120310,-34.195,19.5055,16.159485448016184
107,PVR95022303,-34.06033333,18.3835,17.158483331972278
108,JID95032003,-34.385,19.27166667,17.02985640376632
109,GEH94121005,-33.1805,19.118,14.787861810167067
110,JID95082802,-34.09416667,18.43283333,17.158483331972278
111,OUT95100701,-33.8445,23.19133333,17.269697019804234
112,OUT95100710,-33.84683333,23.186,17.269697019804234
113,FBH95102602,-34.30183333,19.01283333,16.974604409510388
114,OUT95111808,-33.952,21.11883333,17.58716368942094
115,OUT95111815,-33.94233333,21.1435,17.58716368942094
116,OUT95111816,-33.94183333,21.13583333,17.58716368942094
117,FBH95111905,-34.21833333,18.44833333,16.82519545733296
118,JID96030403,-34.31266667,18.99833333,16.974604409510388
119,OUT96030910,-33.83416667,22.62066667,17.662210087860718
120,AGR96100902,-34.00816667,19.658,16.159485448016184
121,OUT96110206,-33.99,21.465,17.58716368942094
122,OUT97070604,-33.84883333,23.67983333,17.42327570851327
123,PVR97100109,-34.341,18.93483333,16.974604409510388
124,WIJ97101811,-34.33166667,19.24833333,17.02985640376632
125,WIJ97100405,-34.32833333,19.00666667,16.974604409510388
126,OUT97111511,-33.986,21.25583333,17.58716368942094
127,WIJ97110209,-34.07833333,19.99916667,17.153289467563162
128,CSS97120704,-34.11483333,18.4365,17.158483331972278
129,WIJ97120602,-34.34833333,18.94833333,16.974604409510388
130,WIJ97120603,-34.34166667,18.96,16.974604409510388
131,JID97120604,-34.34166667,18.96566667,16.974604409510388
132,OUT97100405,-33.95916667,21.54466667,17.58716368942094
133,JID98020901,-34.09316667,18.428,17.158483331972278
134,JBB98041303,-33.937,20.82533333,17.354423065977972
135,WIJ98110107,-33.98083333,21.2475,17.58716368942094
136,WIJ98120911,-34.63466667,19.59833333,17.02985640376632
137,WIJ99102301,-34.1925,19.18,16.159485448016184
138,AWA99092903,-32.96483333,19.096,14.787861810167067
139,GED99111704,-33.13166667,19.17416667,14.787861810167067
140,JUG99090902,-34.39583333,19.32166667,17.02985640376632
141,JUG99090903,-34.39083333,19.33666667,17.02985640376632
142,LKA99103003,-34.025,19.61916667,16.159485448016184
143,LKA99110401,-33.6905,19.10216667,15.484516052002656
144,OUT97112905,-33.86333333,23.6895,17.42327570851327
145,OUT98012402,-33.961,21.2635,17.58716368942094
146,LKA99110906,-34.3865,19.33716667,17.02985640376632
147,TLEY0010901,-34.44016667,19.66716667,17.02985640376632
148,SASY0010901,-34.43466667,19.66616667,17.02985640376632
149,TLE97110205,-34.3415,18.92933333,16.974604409510388
150,TLE99010503,-34.34466667,18.92816667,16.974604409510388
151,TLE99121804,-34.34316667,18.92933333,16.974604409510388
152,OUTY0080501,-33.92566667,22.5875,17.662210087860718
153,WIJY0101407,-34.3025,18.89333333,16.974604409510388
154,WIJY0102206,-34.36833333,20.55083333,17.79278810564558
155,WIJY0102806,-33.00166667,19.11,14.787861810167067
156,WIJY0103002,-33.01366667,19.09266667,14.787861810167067
157,JIDY0101407,-34.31433333,18.90266667,16.974604409510388
158,TLE97100405,-34.32166667,19.00816667,16.974604409510388
159,PINY1010803,-33.95633333,20.865,17.354423065977972
160,TLE97092708,-34.04116667,18.8765,16.82519545733296
161,TLE98091908,-34.09633333,18.44216667,16.82519545733296
162,TLE99051602,-34.00216667,18.406,17.158483331972278
163,WIJY0121703,-34.22883333,18.91083333,16.82519545733296
164,PINY0121302,-33.81533333,22.95166667,17.269697019804234
165,SASY0121702,-34.22116667,18.90216667,16.82519545733296
166,SASY0121704,-34.2265,18.91883333,16.82519545733296
167,SASY0121705,-34.23016667,18.928,16.82519545733296
168,TLEY1033105,-34.05716667,18.39066667,17.158483331972278
169,LKAY0111901,-33.98016667,21.29133333,17.58716368942094
170,AMMY3103105,-33.969,20.33166667,17.354423065977972
171,AMMY3111121,-34.391,19.53383333,17.02985640376632
172,AMMY3111126,-34.3975,19.5105,17.02985640376632
173,AMMY3111137,-34.39933333,19.46133333,17.02985640376632
174,AMMY3120602,-34.302,19.02566667,16.974604409510388
175,PHA92021503,-34.1,18.99166667,16.82519545733296
176,AKS92061104,-34.38466667,19.32616667,17.02985640376632
177,PVR93062606,-34.26616667,18.44966667,16.974604409510388
178,PVR94031404,-34.02933333,18.88783333,16.82519545733296
179,WIJ94022405,-33.72333333,19.875,14.672653860991113
180,WIJ94022406,-33.72083333,19.87833333,14.672653860991113
181,AJT94052207,-34.11416667,18.4475,16.82519545733296
182,PVR94072803,-34.0935,18.448,16.82519545733296
183,AKS94090103,-33.709,19.1145,15.484516052002656
184,NSC94071807,-34.32166667,19.0075,16.974604409510388
185,AWA94100101,-33.89316667,22.5425,17.662210087860718
186,PVR95010603,-34.63816667,19.58683333,17.02985640376632
187,PVR95010802,-34.09316667,18.39716667,17.158483331972278
188,PVR95022301,-34.06316667,18.39233333,17.158483331972278
189,PVR95022302,-34.06516667,18.387,17.158483331972278
190,PVR95022306,-34.05183333,18.38616667,17.158483331972278
191,JAT94070601,-33.972,23.55316667,17.42327570851327
192,OUT95082605,-33.86216667,22.29683333,17.662120331738915
193,TLE95052801,-34.28783333,19.04216667,16.974604409510388
194,GEH96010103,-33.37333333,19.28133333,15.484516052002656
195,GEH96010106,-33.365,19.2705,15.484516052002656
196,AKS96013102,-34.07433333,18.38,17.158483331972278
197,JID96021501,-34.153,18.9215,16.82519545733296
198,OUT96031604,-33.86683333,22.47683333,17.662120331738915
199,OUT96031605,-33.868,22.4785,17.662120331738915
200,OUT96050304,-33.95916667,21.54566667,17.58716368942094
201,OUT96050305,-33.9505,21.54133333,17.58716368942094
202,JID96092107,-34.27566667,18.86166667,16.974604409510388
203,OUT96100504,-33.90433333,21.807,17.61376740336415
204,TLE96042103,-34.186,18.39516667,17.158483331972278
205,TLE96070608,-34.2175,18.4505,16.82519545733296
206,TLE96092906,-34.101,18.4365,17.158483331972278
207,TLE96092204,-34.3045,18.96983333,16.974604409510388
208,WIJ96092207,-34.3095,18.99683333,16.974604409510388
209,JAT96122903,-34.29016667,18.93766667,16.974604409510388
210,WIJ97030812,-33.94833333,20.90166667,17.354423065977972
211,WIJ97031507,-33.705,19.115,15.484516052002656
212,AWA97041001,-34.37766667,20.58,17.79278810564558
213,AWA97041003,-34.37383333,20.57066667,17.79278810564558
214,AWA97041004,-34.37216667,20.56666667,17.79278810564558
215,AWA97041007,-34.36916667,20.554,17.79278810564558
216,AWA97041008,-34.36883333,20.55016667,17.79278810564558
217,AWA97041009,-34.36883333,20.546,17.79278810564558
218,PVR97081509,-34.22766667,18.427,17.158483331972278
219,AWA97081402,-33.91216667,21.78116667,17.61376740336415
220,AWA97081403,-33.91533333,21.77933333,17.61376740336415
221,TLE97092201,-33.97166667,24.2745,17.799162964593254
222,JAT98020903,-33.97933333,23.60916667,17.42327570851327
223,OUT97062104,-33.85733333,22.2855,17.662120331738915
224,JID98042903,-34.18433333,18.94083333,16.82519545733296
225,JID98042908,-34.2235,18.8635,16.82519545733296
226,JID98042909,-34.20583333,18.85483333,16.82519545733296
227,JID98072501,-34.3905,19.35166667,17.02985640376632
228,TLE97042010,-34.00633333,19.00983333,16.82519545733296
229,TLE97042011,-34.011,19.00133333,16.82519545733296
230,BMJ98092504,-33.93066667,20.89833333,17.354423065977972
231,WIJY0022203,-34.23,18.89,16.82519545733296
232,WIJY0022204,-34.2275,18.88916667,16.82519545733296
233,WIJY0031102,-34.215,19.43083333,16.159485448016184
234,WIJY0050601,-34.21333333,19.48333333,16.159485448016184
235,OUTY0060405,-33.96666667,21.29183333,17.58716368942094
236,TLE97081704,-34.34316667,18.9325,16.974604409510388
237,TLE97081706,-34.33883333,18.94216667,16.974604409510388
238,TLE98062009,-34.22916667,18.45283333,16.82519545733296
239,PVRY0061902,-33.77166667,19.06,16.82519545733296
240,AMMY0101403,-33.963,21.263,17.58716368942094
241,AMMY0101405,-33.96816667,21.25516667,17.58716368942094
242,GEKY0101402,-33.96616667,21.2855,17.58716368942094
243,TLE99040402,-34.04933333,18.86883333,16.82519545733296
244,TLE99040410,-34.05133333,18.875,16.82519545733296
245,TLEY0121002,-34.10883333,18.4305,17.158483331972278
246,OUTY1011302,-33.99866667,21.4535,17.58716368942094
247,WIJY0121707,-34.23916667,18.93166667,16.82519545733296
248,TLE98041812,-34.3965,19.31716667,17.02985640376632
249,AMMY1013011,-33.941,21.5355,17.58716368942094
250,PMRY1032401,-33.964,19.25583333,16.159485448016184
251,SGAY1032201,-34.0825,19.85216667,17.153289467563162
252,MURY2022607,-34.24183333,18.46116667,16.82519545733296
253,AMMY2022304,-34.41583333,19.694,17.25943232574332
254,APE92072604,-33.51216667,19.10966667,15.484516052002656
255,APE93040304,-33.87166667,22.41583333,17.662120331738915
256,TLE93010209,-34.156,18.37016667,17.158483331972278
257,WIJ93051606,-34.01416667,19.59333333,16.159485448016184
258,AJT94052808,-33.98333333,18.38383333,17.158483331972278
259,AJT94052809,-33.98833333,18.37933333,17.158483331972278
260,WIJ94061206,-33.78333333,19.16666667,16.159485448016184
261,TLE94070702,-34.37633333,19.29283333,17.02985640376632
262,WIJ94091006,-34.21833333,18.42666667,17.158483331972278
263,TLE94082105,-33.97066667,18.39633333,17.158483331972278
264,JID95013101,-34.00233333,18.3725,17.158483331972278
265,JID95022701,-34.00183333,18.4075,17.158483331972278
266,TLE95043003,-33.95566667,18.4405,16.82519545733296
267,TLE95043004,-33.955,18.43533333,17.158483331972278
268,PVR95070204,-34.0775,18.392,17.158483331972278
269,PVR95080607,-34.32216667,19.00583333,16.974604409510388
270,TLE95091614,-33.9855,18.41733333,17.158483331972278
271,WIJ96072104,-34.11666667,18.43333333,17.158483331972278
272,PVR96111309,-33.92866667,18.98916667,16.82519545733296
273,TLE96070611,-34.225,18.45066667,16.82519545733296
274,TLE96070615,-34.2465,18.4675,16.82519545733296
275,TLE96092905,-34.0985,18.43616667,17.158483331972278
276,TLE96092208,-34.31733333,18.99983333,16.974604409510388
277,WIJ96092205,-34.30716667,18.97466667,16.974604409510388
278,WIJ96092208,-34.31433333,18.99983333,16.974604409510388
279,WIJ97030903,-33.93583333,20.90333333,17.354423065977972
280,WIJ97030907,-33.92833333,20.90316667,17.354423065977972
281,WIJ97030908,-33.92333333,20.88,17.354423065977972
282,PVR97081506,-34.22166667,18.428,17.158483331972278
283,TLE97092005,-33.84816667,23.66166667,17.42327570851327
284,AGR98012510,-33.99916667,18.41166667,17.158483331972278
285,WIJ98030806,-33.95416667,19.14833333,16.159485448016184
286,OUT97062102,-33.85816667,22.28766667,17.662120331738915
287,WIJ98051607,-33.965,21.19583333,17.58716368942094
288,WIJ98080207,-33.40666667,19.67,15.484516052002656
289,WIJ98050305,-33.78833333,19.11833333,16.159485448016184
290,TLE98092503,-33.93833333,20.8205,17.354423065977972
291,WIJ99021310,-34.39583333,19.27916667,17.02985640376632
292,WIJ99050104,-34.25416667,19.13333333,17.02985640376632
293,WIJ99073106,-34.225,18.4375,16.82519545733296
294,WIJ99073108,-34.22833333,18.45,16.82519545733296
295,WIJ99102302,-34.19583333,19.19,16.159485448016184
296,JID99102305,-34.19366667,19.186,16.159485448016184
297,PVRY0030105,-34.24633333,18.46883333,16.82519545733296
298,PVRY0030111,-34.2275,18.45566667,16.82519545733296
299,PVRY0030112,-34.22366667,18.4535,16.82519545733296
300,PVRY0030113,-34.21866667,18.45316667,16.82519545733296
301,WIJY0042802,-34.34583333,18.92666667,16.974604409510388
302,TLE98062011,-34.22683333,18.44166667,16.82519545733296
303,WIJY0072903,-34.1095,18.97383333,16.82519545733296
304,JIDY0072904,-34.1315,18.949,16.82519545733296
305,AMMY0101407,-33.9735,21.2645,17.58716368942094
306,AMMY0101408,-33.97583333,21.2705,17.58716368942094
307,JIDY0101404,-34.32933333,18.9225,16.974604409510388
308,TLEY1010603,-34.34466667,18.92816667,16.974604409510388
309,TLE97091307,-34.38533333,19.28483333,17.02985640376632
310,TLE99051604,-33.99683333,18.41016667,17.158483331972278
311,MHRY1032203,-34.10133333,19.86283333,17.153289467563162
312,APE93030601,-33.97966667,18.38816667,17.158483331972278
313,APE93030604,-33.9945,18.379,17.158483331972278
314,VMS93030601,-33.97766667,18.38916667,17.158483331972278
315,PVR94021101,-33.98466667,18.42233333,17.158483331972278
316,PVR94021102,-33.98316667,18.41966667,17.158483331972278
317,PVR94021602,-34.07533333,18.38833333,17.158483331972278
318,PVR94021603,-34.07283333,18.37966667,17.158483331972278
319,WIJ94041701,-33.98833333,20.57833333,17.354423065977972
320,WIJ94091005,-34.22166667,18.43166667,17.158483331972278
321,PVR94112307,-34.03483333,18.38333333,17.158483331972278
322,PVR95011412,-33.9725,19.36233333,16.159485448016184
323,PVR95020501,-33.96483333,18.405,17.158483331972278
324,WIJ95022601,-33.97083333,18.42,17.158483331972278
325,WIJ95032413,-34.02833333,22.97166667,17.269697019804234
326,AJT95042704,-34.73666667,19.8975,17.25943232574332
327,NSC95072902,-33.15133333,19.15233333,14.787861810167067
328,WIJ95092302,-34.535,19.92,17.25943232574332
329,OUT95092302,-34.5385,19.91566667,17.25943232574332
330,PVR95102607,-34.39166667,19.33666667,17.02985640376632
331,PVR95102609,-34.3875,19.34,17.02985640376632
332,PVR95110408,-34.188,19.16333333,16.159485448016184
333,GEH96010105,-33.3715,19.2705,15.484516052002656
334,WIJ96021701,-34.19233333,19.56133333,16.159485448016184
335,TLE96032406,-34.21683333,18.45,16.82519545733296
336,JID96042201,-34.0955,18.43466667,17.158483331972278
337,NSC96021601,-34.123,19.10566667,16.159485448016184
338,PVR96082202,-34.14916667,18.92366667,16.82519545733296
339,PVR96103109,-34.188,19.1735,16.159485448016184
340,PVR96103110,-34.18983333,19.17816667,16.159485448016184
341,PVR96103113,-34.19666667,19.16833333,16.159485448016184
342,WIJ97030904,-33.93333333,20.9,17.354423065977972
343,WIJ97031503,-33.69333333,19.11,15.484516052002656
344,JID97031701,-34.1005,18.45966667,16.82519545733296
345,JID97032403,-34.03783333,18.321,17.158483331972278
346,CSS97022301,-33.97833333,18.41983333,17.158483331972278
347,WIJ97040107,-33.6,24.535,16.595458512212705
348,PVR97100106,-34.33766667,18.94466667,16.974604409510388
349,PVR97092007,-33.853,23.648,17.42327570851327
350,WIJ97101810,-34.33166667,19.26,17.02985640376632
351,WIJ98010204,-34.15333333,18.365,17.158483331972278
352,OUT97090602,-33.874,22.40583333,17.662120331738915
